semana,opinion_clean,respondentes,prop
1,Approves,500,0.4166666666666667
1,Didn't answer,40,0.03333333333333333
1,Doesn't know,40,0.03333333333333333
1,Rejects,620,0.5166666666666667
6,Approves,498,0.415
6,Didn't answer,46,0.03833333333333333
6,Doesn't know,49,0.04083333333333333
6,Rejects,607,0.5058333333333334
7,Approves,512,0.4266666666666667
7,Didn't answer,38,0.03166666666666667
7,Doesn't know,53,0.04416666666666667
7,Rejects,597,0.4975
8,Approves,519,0.4325
8,Didn't answer,51,0.0425
8,Doesn't know,41,0.034166666666666665
8,Rejects,589,0.49083333333333334
9,Approves,576,0.48
9,Didn't answer,43,0.035833333333333335
9,Doesn't know,36,0.03
9,Rejects,545,0.45416666666666666
10,Approves,588,0.49
10,Didn't answer,56,0.04666666666666667
10,Doesn't know,30,0.025
10,Rejects,526,0.43833333333333335
11,Approves,569,0.4741666666666667
11,Didn't answer,50,0.041666666666666664
11,Doesn't know,35,0.029166666666666667
11,Rejects,546,0.455
12,Approves,558,0.465
12,Didn't answer,48,0.04
12,Doesn't know,38,0.03166666666666667
12,Rejects,556,0.4633333333333333
13,Approves,573,0.4775
13,Didn't answer,45,0.0375
13,Doesn't know,46,0.03833333333333333
13,Rejects,536,0.44666666666666666
14,Approves,583,0.48583333333333334
14,Didn't answer,39,0.0325
14,Doesn't know,33,0.0275
14,Rejects,545,0.45416666666666666
15,Approves,572,0.4766666666666667
15,Didn't answer,40,0.03333333333333333
15,Doesn't know,48,0.04
15,Rejects,540,0.45
16,Approves,567,0.4725
16,Didn't answer,26,0.021666666666666667
16,Doesn't know,36,0.03
16,Rejects,571,0.47583333333333333
17,Approves,566,0.4716666666666667
17,Didn't answer,37,0.030833333333333334
17,Doesn't know,40,0.03333333333333333
17,Rejects,557,0.46416666666666667
18,Approves,592,0.49333333333333335
18,Didn't answer,50,0.041666666666666664
18,Doesn't know,34,0.028333333333333332
18,Rejects,524,0.43666666666666665
19,Approves,618,0.515
19,Didn't answer,40,0.03333333333333333
19,Doesn't know,30,0.025
19,Rejects,512,0.4266666666666667
20,Approves,604,0.5033333333333333
20,Didn't answer,41,0.034166666666666665
20,Doesn't know,41,0.034166666666666665
20,Rejects,514,0.42833333333333334
21,Approves,629,0.5241666666666667
21,Didn't answer,33,0.0275
21,Doesn't know,43,0.035833333333333335
21,Rejects,495,0.4125
22,Approves,635,0.5291666666666667
22,Didn't answer,27,0.0225
22,Doesn't know,39,0.0325
22,Rejects,499,0.41583333333333333
23,Approves,632,0.5266666666666666
23,Didn't answer,49,0.04083333333333333
23,Doesn't know,37,0.030833333333333334
23,Rejects,482,0.40166666666666667
24,Approves,649,0.5408333333333334
24,Didn't answer,49,0.04083333333333333
24,Doesn't know,57,0.0475
24,Rejects,445,0.37083333333333335
25,Approves,600,0.5004170141784821
25,Didn't answer,35,0.029190992493744787
25,Doesn't know,53,0.04420350291909925
25,Rejects,511,0.4261884904086739
26,Approves,640,0.5333333333333333
26,Didn't answer,44,0.03666666666666667
26,Doesn't know,35,0.029166666666666667
26,Rejects,481,0.4008333333333333
27,Approves,625,0.5208333333333334
27,Didn't answer,38,0.03166666666666667
27,Doesn't know,59,0.049166666666666664
27,Rejects,478,0.3983333333333333
28,Approves,610,0.5083333333333333
28,Didn't answer,46,0.03833333333333333
28,Doesn't know,50,0.041666666666666664
28,Rejects,494,0.4116666666666667
29,Approves,591,0.4925
29,Didn't answer,35,0.029166666666666667
29,Doesn't know,54,0.045
29,Rejects,520,0.43333333333333335
