semana,opinion_clean,respondentes,prop
1,Approves,428,0.40956937799043064
1,Didn't answer,37,0.0354066985645933
1,Disapproves,544,0.5205741626794258
1,Doesn't know,36,0.03444976076555024
6,Approves,410,0.3969022265246854
6,Didn't answer,38,0.036786060019361085
6,Disapproves,541,0.5237173281703775
6,Doesn't know,44,0.04259438528557599
7,Approves,436,0.42829076620825146
7,Didn't answer,30,0.029469548133595286
7,Disapproves,510,0.5009823182711198
7,Doesn't know,42,0.0412573673870334
8,Approves,458,0.4521224086870681
8,Didn't answer,44,0.04343534057255676
8,Disapproves,478,0.47186574531095754
8,Doesn't know,33,0.03257650542941757
9,Approves,489,0.4747572815533981
9,Didn't answer,35,0.03398058252427184
9,Disapproves,475,0.46116504854368934
9,Doesn't know,31,0.030097087378640777
10,Approves,496,0.4910891089108911
10,Didn't answer,49,0.048514851485148516
10,Disapproves,438,0.43366336633663366
10,Doesn't know,27,0.026732673267326732
11,Approves,474,0.47070506454816285
11,Didn't answer,40,0.039721946375372394
11,Disapproves,463,0.45978152929493543
11,Doesn't know,30,0.029791459781529295
12,Approves,469,0.468063872255489
12,Didn't answer,34,0.033932135728542916
12,Disapproves,466,0.46506986027944114
12,Doesn't know,33,0.03293413173652695
13,Approves,479,0.4733201581027668
13,Didn't answer,40,0.039525691699604744
13,Disapproves,451,0.44565217391304346
13,Doesn't know,42,0.041501976284584984
14,Approves,480,0.47713717693836977
14,Didn't answer,34,0.033797216699801194
14,Disapproves,463,0.4602385685884692
14,Doesn't know,29,0.02882703777335984
15,Approves,468,0.46062992125984253
15,Didn't answer,32,0.031496062992125984
15,Disapproves,471,0.46358267716535434
15,Doesn't know,45,0.04429133858267716
16,Approves,467,0.45077220077220076
16,Didn't answer,22,0.021235521235521235
16,Disapproves,512,0.4942084942084942
16,Doesn't know,35,0.033783783783783786
17,Approves,472,0.4627450980392157
17,Didn't answer,31,0.030392156862745098
17,Disapproves,487,0.4774509803921569
17,Doesn't know,30,0.029411764705882353
18,Approves,496,0.4925521350546177
18,Didn't answer,38,0.03773584905660377
18,Disapproves,446,0.4428997020854022
18,Doesn't know,27,0.026812313803376366
19,Approves,512,0.498539435248296
19,Didn't answer,37,0.03602726387536514
19,Disapproves,451,0.439143135345667
19,Doesn't know,27,0.02629016553067186
20,Approves,512,0.4975704567541302
20,Didn't answer,37,0.03595724003887269
20,Disapproves,448,0.43537414965986393
20,Doesn't know,32,0.031098153547133137
21,Approves,509,0.50346191889218594
21,Didn't answer,29,0.028684470820969338
21,Disapproves,438,0.4332344213649852
21,Doesn't know,35,0.03461918892185954
22,Approves,548,0.5299806576402321
22,Didn't answer,24,0.02321083172147002
22,Disapproves,427,0.41295938104448743
22,Doesn't know,35,0.033849129593810444
23,Approves,550,0.533462657613967
23,Didn't answer,42,0.040737148399612025
23,Disapproves,405,0.39282250242483024
23,Doesn't know,34,0.03297769156159069
24,Approves,550,0.5408062930186824
24,Didn't answer,41,0.04031465093411996
24,Disapproves,381,0.3746312684365782
24,Doesn't know,45,0.04424778761061947
25,Approves,499,0.4955312810327706
25,Didn't answer,28,0.027805362462760674
25,Disapproves,438,0.43495531281032773
25,Doesn't know,42,0.041708043694141016
26,Approves,526,0.515686274509804
26,Didn't answer,36,0.03529411764705882
26,Disapproves,426,0.4176470588235294
26,Doesn't know,32,0.03137254901960784
27,Approves,524,0.522432701894317
27,Didn't answer,31,0.03090727816550349
27,Disapproves,399,0.39780658025922233
27,Doesn't know,49,0.04885343968095713
28,Approves,508,0.5090180360721442
28,Didn't answer,39,0.03907815631262525
28,Disapproves,413,0.41382765531062127
28,Doesn't know,38,0.03807615230460922
29,Approves,515,0.4900095147478592
29,Didn't answer,30,0.028544243577545196
29,Disapproves,460,0.43767840152235965
29,Doesn't know,46,0.04376784015223597
