semana,opinion_clean,respondentes,prop
1,Approves,46,0.6216216216216216
1,Didn't answer,0,0
1,Disapproves,27,0.36486486486486486
1,Doesn't know,1,0.013513513513513514
6,Approves,43,0.6417910447761194
6,Didn't answer,1,0.014925373134328358
6,Disapproves,23,0.34328358208955223
6,Doesn't know,0,0
7,Approves,37,0.5211267605633803
7,Didn't answer,1,0.014084507042253521
7,Disapproves,31,0.43661971830985913
7,Doesn't know,2,0.028169014084507043
8,Approves,36,0.45569620253164556
8,Didn't answer,0,0
8,Disapproves,42,0.5316455696202531
8,Doesn't know,1,0.012658227848101266
9,Approves,45,0.6818181818181818
9,Didn't answer,2,0.030303030303030304
9,Disapproves,19,0.2878787878787879
9,Doesn't know,0,0
10,Approves,45,0.5921052631578947
10,Didn't answer,1,0.013157894736842105
10,Disapproves,30,0.39473684210526316
10,Doesn't know,0,0
11,Approves,46,0.5542168674698795
11,Didn't answer,4,0.04819277108433735
11,Disapproves,33,0.39759036144578314
11,Doesn't know,0,0
12,Approves,48,0.5274725274725275
12,Didn't answer,2,0.02197802197802198
12,Disapproves,40,0.43956043956043955
12,Doesn't know,1,0.01098901098901099
13,Approves,58,0.6105263157894737
13,Didn't answer,1,0.010526315789473684
13,Disapproves,36,0.37894736842105264
13,Doesn't know,0,0
14,Approves,51,0.5730337078651685
14,Didn't answer,2,0.02247191011235955
14,Disapproves,36,0.4044943820224719
14,Doesn't know,0,0
15,Approves,50,0.6493506493506493
15,Didn't answer,1,0.012987012987012988
15,Disapproves,26,0.33766233766233766
15,Doesn't know,0,0
16,Approves,57,0.6627906976744186
16,Didn't answer,0,0
16,Disapproves,29,0.3372093023255814
16,Doesn't know,0,0
17,Approves,65,0.6435643564356436
17,Didn't answer,3,0.0297029702970297
17,Disapproves,31,0.3069306930693069
17,Doesn't know,2,0.019801980198019802
18,Approves,54,0.6067415730337079
18,Didn't answer,3,0.033707865168539325
18,Disapproves,31,0.34831460674157305
18,Doesn't know,1,0.011235955056179775
19,Approves,67,0.6979166666666666
19,Didn't answer,1,0.010416666666666666
19,Disapproves,28,0.2916666666666667
19,Doesn't know,0,0
20,Approves,46,0.5822784810126582
20,Didn't answer,2,0.02531645569620253
20,Disapproves,31,0.3924050632911392
20,Doesn't know,0,0
21,Approves,73,0.7227722772277227
21,Didn't answer,2,0.019801980198019802
21,Disapproves,24,0.2376237623762376
21,Doesn't know,2,0.019801980198019802
22,Approves,40,0.5333333333333333
22,Didn't answer,2,0.02666666666666667
22,Disapproves,33,0.44
22,Doesn't know,0,0
23,Approves,39,0.5342465753424658
23,Didn't answer,0,0
23,Disapproves,33,0.4520547945205479
23,Doesn't know,1,0.0136986301369863
24,Approves,51,0.6455696202531646
24,Didn't answer,1,0.012658227848101266
24,Disapproves,27,0.34177215189873417
24,Doesn't know,0,0
25,Approves,54,0.6506024096385542
25,Didn't answer,0,0
25,Disapproves,26,0.3132530120481928
25,Doesn't know,3,0.03614457831325301
26,Approves,51,0.6538461538461539
26,Didn't answer,4,0.05128205128205128
26,Disapproves,22,0.28205128205128205
26,Doesn't know,1,0.01282051282051282
27,Approves,41,0.5324675324675324
27,Didn't answer,1,0.012987012987012988
27,Disapproves,34,0.44155844155844154
27,Doesn't know,1,0.012987012987012988
28,Approves,45,0.6081081081081081
28,Didn't answer,0,0
28,Disapproves,26,0.35135135135135137
28,Doesn't know,3,0.04054054054054054
29,Approves,36,0.5714285714285714
29,Didn't answer,2,0.031746031746031744
29,Disapproves,24,0.38095238095238093
29,Doesn't know,1,0.015873015873015872
