semana,p8_clean,respondentes,prop
1,Excellent,169,0.14083333333333334
1,Good,212,0.17666666666666667
1,Fair,266,0.22166666666666668
1,Poor,135,0.1125
1,Very Poor,392,0.32666666666666666
1,Didn't answer,13,0.010833333333333334
1,Doesn't know,13,0.010833333333333334
6,Excellent,136,0.11333333333333333
6,Good,223,0.18583333333333332
6,Fair,305,0.25416666666666665
6,Poor,108,0.09
6,Very Poor,403,0.3358333333333333
6,Didn't answer,11,0.009166666666666667
6,Doesn't know,14,0.011666666666666667
7,Excellent,169,0.14083333333333334
7,Good,215,0.17916666666666667
7,Fair,276,0.23
7,Poor,126,0.105
7,Very Poor,395,0.32916666666666666
7,Didn't answer,6,0.005
7,Doesn't know,13,0.010833333333333334
8,Excellent,173,0.14416666666666667
8,Good,210,0.175
8,Fair,298,0.24833333333333332
8,Poor,135,0.1125
8,Very Poor,364,0.30333333333333334
8,Didn't answer,16,0.013333333333333334
8,Doesn't know,4,0.0033333333333333335
9,Excellent,218,0.18166666666666667
9,Good,220,0.18333333333333332
9,Fair,301,0.25083333333333335
9,Poor,109,0.09083333333333334
9,Very Poor,328,0.2733333333333333
9,Didn't answer,13,0.010833333333333334
9,Doesn't know,11,0.009166666666666667
10,Excellent,224,0.18666666666666668
10,Good,227,0.18916666666666668
10,Fair,316,0.2633333333333333
10,Poor,113,0.09416666666666666
10,Very Poor,299,0.24916666666666668
10,Didn't answer,8,0.006666666666666667
10,Doesn't know,13,0.010833333333333334
11,Excellent,208,0.17333333333333334
11,Good,241,0.20083333333333334
11,Fair,291,0.2425
11,Poor,117,0.0975
11,Very Poor,329,0.27416666666666667
11,Didn't answer,8,0.006666666666666667
11,Doesn't know,6,0.005
12,Excellent,188,0.15666666666666668
12,Good,255,0.2125
12,Fair,294,0.245
12,Poor,127,0.10583333333333333
12,Very Poor,317,0.26416666666666666
12,Didn't answer,14,0.011666666666666667
12,Doesn't know,5,0.004166666666666667
13,Excellent,207,0.1725
13,Good,224,0.18666666666666668
13,Fair,308,0.25666666666666665
13,Poor,117,0.0975
13,Very Poor,318,0.265
13,Didn't answer,11,0.009166666666666667
13,Doesn't know,15,0.0125
14,Excellent,235,0.19583333333333333
14,Good,227,0.18916666666666668
14,Fair,271,0.22583333333333333
14,Poor,121,0.10083333333333333
14,Very Poor,329,0.27416666666666667
14,Didn't answer,9,0.0075
14,Doesn't know,8,0.006666666666666667
15,Excellent,225,0.1875
15,Good,240,0.2
15,Fair,276,0.23
15,Poor,102,0.085
15,Very Poor,332,0.27666666666666667
15,Didn't answer,13,0.010833333333333334
15,Doesn't know,12,0.01
16,Excellent,197,0.16416666666666666
16,Good,238,0.19833333333333333
16,Fair,280,0.23333333333333334
16,Poor,114,0.095
16,Very Poor,354,0.295
16,Didn't answer,8,0.006666666666666667
16,Doesn't know,9,0.0075
17,Excellent,236,0.19666666666666666
17,Good,241,0.20083333333333334
17,Fair,255,0.2125
17,Poor,96,0.08
